Time,Symbol,Price,Quantity,Type,Status,Value,maxPerf,maxLoss,maxDd,curPerf,pastPerfAvg,successRatio
2015-03-23T20:00:00Z,EXPE,90.652154485,-112,Market On Open,Filled,-10153.04130232,0.0347723113359888039616750996,-0.0060286360211002260738507913,0.0077511034557002906663795888,0.0270212078802885132952955108,-0.0024128477277681072117737125, 0.2 
2015-03-23T20:00:00Z,STMP,58.3,-170,Market On Open,Filled,-9911,-0.0049445865302642796248934356,-0.0049445865302642796248934356,   0,-0.0049445865302642796248934356,-0.0087166316401608140945600396, 0.1 
2015-03-24T14:00:00Z,CPRT,9.3725,-1063,Market,Filled,-9962.9675,0.0074626865671641791044776119,-0.000799573560767590618336887,0.0082622601279317697228144989,-0.000799573560767590618336887,-0.0051065531007576101256634759,   0 
2015-03-24T14:00:00Z,MELI,123.24609825,-80,Market,Filled,-9859.68786,0.0011157156518967166082244182,-0.0078100095632770162575709276,0.0089257252151737328657953458,-0.0078100095632770162575709276,-0.0055505432223779724036522394,   0 
2015-03-24T14:00:00Z,TRIP,76.28205239,-135,Market,Filled,-10298.07707265,0.0481927710843373493975903614,   0,0.0146987951807228915662650602,0.0334939759036144578313253012,0.0010538772673091459062938731, 0.1 
2015-03-24T15:00:00Z,BKNG,1177.97,-8,Market,Filled,-9423.76,0.0165682694604647988260587653,-0.0010749752585059550216701362,0.0115773129031157219397331331,0.0049909565573490768863256322,-0.0088506867879446754583981310, 0.1 
2015-03-24T15:00:00Z,JD,29.53,337,Market,Filled,9951.61,0,0,0,0,0,1 
2015-03-24T15:00:00Z,NETE,117,-85,Market,Filled,-9945,0.0170940170940170940170940171,   0,0.0170940170940170940170940171,   0,   0,   0 
2015-03-24T16:00:00Z,EXPE,91.432899855,109,Market,Filled,9966.186084195,0,0,0,0,0,1 
2015-03-24T16:00:00Z,GRPN,154,64,Market,Filled,9856,0,0,0,0,0,1 
2015-03-24T16:00:00Z,OSTK,23.58,423,Market,Filled,9974.34,0,0,0,0,0,1 
2015-03-24T16:00:00Z,TZOO,10.31,-1017,Market,Filled,-10485.27,0.0571428571428571428571428571,   0,0.0081632653061224489795918367,0.0520408163265306122448979592,-0.004332693829025117634424538, 0.1 
2015-03-24T17:00:00Z,GRUB,45.75,-221,Market,Filled,-10110.75,0.0192904656319290465631929047,   0,0.0082039911308203991130820400,0.0144124168514412416851441242,-0.0070452410032111378336989486, 0.1 
2015-03-24T18:00:00Z,EXPE,90.918750465,-109,Market,Filled,-9910.143800685,-0.002290950744558991981672394,-0.0056232427366447985004686036,0.0033322919920858065187962096,-0.0056232427366447985004686036,0.0051024948530423349439855533, 0.4 
2015-03-24T18:00:00Z,GRPN,152.2,-64,Market,Filled,-9740.8,-0.0064935064935064935064935065,-0.0116883116883116883116883117,0.0051948051948051948051948052,-0.0116883116883116883116883117,-0.0111639532486708566442785712,   0 
2015-03-24T18:00:00Z,PETS,13.050543396,-781,Market,Filled,-10192.474392276,0.0280612244897959183673469388,-0.0019132653061224489795918367,0.0082908163265306122448979592,0.0229591836734693877551020408,0.0005805435261779425874542956, 0.1 
2015-03-24T18:00:00Z,TZOO,10.34,964,Market,Filled,9967.76,0,0,0,0,0,1 
2015-03-24T19:00:00Z,FLWS,12.6,-787,Market,Filled,-9916.2,0.0086887835703001579778830964,-0.0047393364928909952606635071,0.0134281200631911532385466035,-0.0047393364928909952606635071,-0.0089246378746412122021226888,   0 
2015-03-24T19:00:00Z,PETS,13.091224641,761,Market,Filled,9962.421951801,0,0,0,0,0,1 
2015-03-24T20:00:00Z,FLWS,12.64,789,Market On Open,Filled,9972.96,0,0,0,0,0,1 
2015-03-24T20:00:00Z,NETE,120,83,Market On Open,Filled,9960,0,0,0,0,0,1 
2015-03-25T14:00:00Z,FLWS,12.4,-789,Market,Filled,-9783.6,-0.0189873417721518987341772152,-0.0189873417721518987341772152,   0,-0.0189873417721518987341772152,-0.0098844049157061673337563727,   0 
2015-03-25T14:00:00Z,EBAY,24.166231654451,-415,Market,Filled,-10028.986136597,0.0191061071306721255544182873,-0.0015353121801432958034800409,0.0136472193790515182531559195,0.0054588877516206073012623678,-0.0033789307118316630469184636, 0.1 
2015-03-25T14:00:00Z,OSTK,23.29,-423,Market,Filled,-9851.67,0.0033927056827820186598812553,-0.0122985581000848176420695505,0.0156912637828668363019508058,-0.0122985581000848176420695505,-0.0183112560630662632909889036,   0 
2015-03-25T14:00:00Z,STMP,68.28,146,Market,Filled,9968.88,0,0,0,0,0,1 
2015-03-25T14:00:00Z,TZOO,9.92,-964,Market,Filled,-9562.88,   0,-0.0406189555125725338491295938,0.0406189555125725338491295938,-0.0406189555125725338491295938,-0.0058409632311506039100422982, 0.1 
2015-03-25T15:00:00Z,AMZN,379.1,26,Market,Filled,9856.6,0,0,0,0,0,1 
2015-03-25T16:00:00Z,GRPN,153.4,65,Market,Filled,9971,0,0,0,0,0,1 
2015-03-25T17:00:00Z,AMZN,372.47,-26,Market,Filled,-9684.22,-0.0118965972039039831179108415,-0.0174887892376681614349775785,0.0055921920337641783170667370,-0.0174887892376681614349775785,0.0039130073053743045047935467, 0.9 
2015-03-25T20:00:00Z,JD,29.63,-337,Market On Open,Filled,-9985.31,0.0311547578733491364713850322,   0,0.0250592617676938706400270911,0.0060954961056552658313579411,0.0020348960647459717027775061, 0.5 
2015-03-26T14:00:00Z,JD,29.96,332,Market,Filled,9946.72,0,0,0,0,0,1 
2015-03-26T15:00:00Z,BABA,84.3,118,Market,Filled,9947.4,0,0,0,0,0,1 
2015-03-26T15:00:00Z,JD,29.75,-332,Market,Filled,-9877,-0.0070093457943925233644859813,-0.0070093457943925233644859813,   0,-0.0070093457943925233644859813,0.0015125329138781479377574794, 0.5 
2015-03-26T15:00:00Z,PETS,13.115633388,-761,Market,Filled,-9980.997008268,0.0099440646364201367308887508,   0,0.0093225605966438781852082039,0.0018645121193287756370416408,0.0009575919426851530609424495, 0.2 
2015-03-26T16:00:00Z,GRPN,153.8,-65,Market,Filled,-9997,0.0104302477183833116036505867,-0.0026075619295958279009126467,0.0130378096479791395045632334,0.0026075619295958279009126467,-0.0093076497458782497354489021, 0.1 
2015-03-26T16:00:00Z,JD,29.9,333,Market,Filled,9956.7,0,0,0,0,0,1 
2015-03-26T16:00:00Z,PETS,13.115633388,760,Market,Filled,9967.88137488,0,0,0,0,0,1 
2015-03-26T18:00:00Z,JD,29.69,-333,Market,Filled,-9886.77,-0.0050167224080267558528428094,-0.0070234113712374581939799331,0.0020066889632107023411371237,-0.0070234113712374581939799331,0.0009887632053258306897880575, 0.5 
2015-03-26T18:00:00Z,W,31.3,318,Market,Filled,9953.4,0,0,0,0,0,1 
2015-03-26T19:00:00Z,PETS,13.164450882,-760,Market,Filled,-10004.98267032,0.0049627791563275434243176179,   0,0.0012406947890818858560794045,0.0037220843672456575682382134,0.0015203975839840517275502607, 0.3 
2015-03-26T20:00:00Z,STMP,67.27,-146,Market On Open,Filled,-9821.42,0.0017574692442882249560632689,-0.0155243116578793204452255419,0.0172817809021675454012888108,-0.0124487404803749267721148213,-0.0050130858762025632755584051, 0.1 
2015-03-26T20:00:00Z,W,31.25,-318,Market On Open,Filled,-9937.5,-0.0015974440894568690095846645,-0.0044728434504792332268370607,   0,-0.0015974440894568690095846645,-0.0254238554865188833996001809,   0 
2015-03-27T14:00:00Z,OSTK,23.69,421,Market,Filled,9973.49,0,0,0,0,0,1 
2015-03-27T14:00:00Z,STMP,68.17,146,Market,Filled,9952.82,0,0,0,0,0,1 
2015-03-27T14:00:00Z,W,32.48,307,Market,Filled,9971.36,0,0,0,0,0,1 
